"year","mean.cpue","sd","Freq","se"
1989,13.5319205766471,27.3167056315962,34,4.68477636657315
1990,19.3578950539964,46.3106005741133,56,6.18851431157388
1991,29.7996773946098,42.0946248942986,72,4.96089911904377
1992,30.2117280800797,49.7492208734303,93,5.15875388962218
1993,21.0513227068891,32.9584418994163,93,3.41763121832739
1994,58.2949949352035,53.1487399805594,95,5.45294566606567
1995,54.8626222549805,63.3614836746406,103,6.24319249725523
1996,24.1408868561364,34.7271258536655,85,3.76668565508087
1997,29.1248151364497,37.2848956706034,115,3.47683444875761
1998,36.5039509129138,42.2024954693197,88,4.49880113302668
1999,37.2319522713362,45.9304860047691,94,4.7373679116311
2000,22.9861916672453,37.2247774283341,102,3.68580219085186
2001,50.0405225680066,77.8141761787143,101,7.74279992233729
2002,42.8758970047922,58.8815882292196,77,6.71017973746089
2003,18.5895214752522,30.518219600774,109,2.92311529117727
2004,24.485508946384,43.8468928495947,160,3.46640124315175
2005,22.0677647599311,34.9066428838152,151,2.84066231132952
2006,27.4049068251093,43.7673150596524,133,3.79510752275278
2007,22.3269904463441,40.1925915618122,128,3.55255675585232
2008,23.2072561148246,48.1819351515134,135,4.14684072066349
2009,15.9252912342405,26.4593840662449,83,2.90429471181438
2010,18.1500732462322,29.118147207374,141,2.45219036085877
2011,31.0455918584103,51.7866587025592,133,4.49047280493321
2012,17.431216790496,25.5929086109294,106,2.48580303103972
2013,10.2849394396898,20.2086649665728,67,2.46888137014893
2014,9.62893518518518,21.4494668733603,54,2.9189027274702
